Question Number,Question,Answer,Category,Difficulty
498,What is a loop and why is it used?,A loop is a programming construct that repeats a block of code until a condition is met.,General Programming,Easy
499,What is the difference between compilation and interpretation?,Compilation translates source code into machine code creating an executable file. Interpretation translates and executes code line by line without an executable.,General Programming,Medium
500,Explain the concept of polymorphism.,"Polymorphism allows objects of different classes to be treated as objects of a common superclass, enabling method overriding.",General Programming,Medium
501,"What is an abstract class, and how is it different from an interface?",An abstract class can't be instantiated and can have abstract and concrete methods. An interface only has method signatures without implementations.,General Programming,Medium
502,Describe the principles of Object-Oriented Programming (OOP).,"OOP principles include encapsulation, inheritance, polymorphism, and abstraction, promoting organized and maintainable code.",General Programming,Medium
503,What is the purpose of a constructor?,"A constructor initializes object properties upon class instantiation, ensuring a well-defined state.",General Programming,Medium
504,Explain the difference between stack and heap memory.,"Stack memory stores local variables and function calls; heap memory is for dynamic allocation. Stack operates in LIFO, heap managed manually or by garbage collection.",General Programming,Medium
505,"What is a design pattern, and can you name a few?","Design patterns are solutions to common design problems. Examples: Singleton, Factory, Observer, MVC.",General Programming,Medium
506,"Define the term ""DRY"" in software development.",DRY (Don't Repeat Yourself) advocates for avoiding code duplication by reusing existing code.,General Programming,Medium
507,What is recursion in programming?,Recursion is a technique where a function calls itself to solve smaller instances of a problem.,General Programming,Medium
508,What is the difference between a compiled and an interpreted language?,Compiled languages are translated into machine code before execution; interpreted languages run code line-by-line.,General Programming,Medium
509,What is the scope of a variable?,Scope defines where a variable can be accessed in a program: locally or globally.,General Programming,Medium
510,What are the key differences between procedural and object-oriented programming?,"Procedural programming uses procedures/functions, while OOP organizes code using objects and classes.",General Programming,Medium
511,How is memory managed in high-level languages?,Memory is typically managed via garbage collection or reference counting to free unused memory.,General Programming,Medium
512,What is exception handling?,Exception handling is the process of catching and resolving errors during program execution.,General Programming,Medium
513,What is the difference between pass by value and pass by reference?,"Pass by value copies the data, while pass by reference passes the actual memory address.",General Programming,Medium
514,What is a lambda function?,A lambda function is a small anonymous function defined using the `lambda` keyword.,General Programming,Medium
515,What is the purpose of modular programming?,Modular programming breaks code into separate modules to improve readability and reusability.,General Programming,Medium
516,What is the difference between static and dynamic typing?,"Static typing defines variable types at compile-time, dynamic typing at runtime.",General Programming,Medium
517,Define encapsulation and give an example.,"Encapsulation bundles data and methods in a class, restricting direct data access. Example: class with private data and public methods.",General Programming,Hard
